numXbins 34
numYbins 34
xbin  ybin  z
7  15  1.00221585819320804e-02
7  16  2.92981269274354694e-03
7  17  3.16637921696088153e-03
7  18  3.30285005600632455e-03
7  19  4.41323749971779533e-03
7  20  5.27048276794674087e-03
7  21  3.72179361132624368e-03
7  22  3.88986705998187925e-03
7  23  1.25022551794758598e-02
7  24  1.45183518290614428e-03
7  25  2.06285765902364075e-03
7  26  8.64916503961982858e-03
7  27  2.05771879256998105e-03
7  28  4.92120422024527448e-03
7  29  4.51112474791814586e-03
7  30  5.86851669393143299e-03
7  31  4.50060953100664407e-03
7  32  3.37712366674072133e-03
7  33  3.65387558731660334e-03
8  0  3.51673726434998920e-03
8  1  3.76540521997796628e-03
8  2  3.32553633639620953e-03
8  3  1.27764980056267307e-03
8  4  2.25877088126828557e-03
8  5  3.52487881125750861e-03
8  6  3.30610610337099976e-03
8  7  2.97112603382723326e-03
8  8  5.10024272365281004e-03
8  9  3.68522295879909105e-03
8  10  2.77293655952579434e-03
8  11  2.14882228725766676e-03
8  12  4.84081996022729232e-03
8  13  4.35257398607841704e-03
8  14  8.58576567017308410e-03
8  15  9.91216100442014920e-03
8  16  3.61818514383758106e-03
8  17  5.01939785481479977e-03
8  18  4.84916246020243667e-03
8  19  4.87845212063559019e-03
8  20  5.78697015846307318e-03
8  21  3.41271626229757135e-03
8  22  3.48169573530045847e-03
8  23  1.59552519746692933e-02
8  24  1.35574475090536445e-03
8  25  2.40043535625322334e-03
8  26  1.27827879500738463e-02
8  27  2.51396341873284931e-03
8  28  5.18319741602113557e-03
8  29  4.88188331755338989e-03
8  30  5.78210782171854377e-03
8  31  4.47894384154182059e-03
8  32  3.03817533998800753e-03
8  33  4.47069236637949625e-03
9  0  3.00605836151456854e-03
9  1  3.41126454986931133e-03
9  2  3.03356385520385258e-03
9  3  2.09842761664467145e-03
9  4  1.76147837507141872e-03
9  5  2.80036453347969625e-03
9  6  2.42057887701657357e-03
9  7  3.15660590870987324e-03
9  8  3.68522295879909105e-03
9  9  3.83786081874690254e-03
9  10  2.73423603351176251e-03
9  11  2.46302541243617048e-03
9  12  3.52250497029135560e-03
9  13  4.28929094102524586e-03
9  14  6.90080350655790115e-03
9  15  1.17817272647196391e-02
9  16  3.12313331922771387e-03
9  17  3.60866228536659136e-03
9  18  3.87958738841398618e-03
9  19  4.65177466095786658e-03
9  20  4.94157020381019631e-03
9  21  3.90469010357770646e-03
9  22  3.94430112884547150e-03
9  23  1.17051486653536908e-02
9  24  1.66053192043952389e-03
9  25  1.94074580595150845e-03
9  26  1.17123003286928977e-02
9  27  2.17894342740768869e-03
9  28  4.93275341372709664e-03
9  29  4.40847641304106547e-03
9  30  5.73129782317500364e-03
9  31  4.43307341382590675e-03
9  32  3.46969731032880464e-03
9  33  3.68235295113236499e-03
10  0  2.83241138272259880e-03
10  1  2.82630499340110830e-03
10  2  2.50546026741845255e-03
10  3  9.79303907284202572e-04
10  4  1.23100029367662327e-03
10  5  3.21064904686606863e-03
10  6  2.39933179729510081e-03
10  7  2.32142392845499559e-03
10  8  2.77293655952579347e-03
10  9  2.73423603351176164e-03
10  10  2.84607232771980469e-03
10  11  2.11736396987096190e-03
10  12  2.54458440762057913e-03
10  13  3.35514657383977630e-03
10  14  5.19485231693978585e-03
10  15  9.68548836015165927e-03
10  16  2.20298947902679591e-03
10  17  3.42996932453648639e-03
10  18  2.86950370789599120e-03
10  19  3.40952830868259749e-03
10  20  4.26753793071604683e-03
10  21  3.09835362093758854e-03
10  22  3.62866986418839896e-03
10  23  1.11390709562031610e-02
10  24  7.90848294790575442e-04
10  25  1.20741102109598458e-03
10  26  1.30503224253647569e-02
10  27  2.45513517738517534e-03
10  28  4.78180679952569954e-03
10  29  3.93158964431052343e-03
10  30  4.32493460635498955e-03
10  31  3.31919621008121713e-03
10  32  3.05101813562286186e-03
